RequestedMode,EffectiveMode,Scenario,CpuFrameTimeMs,CpuTimingSource,GpuFrameTimeMs,GpuTimingAvailable,GpuTimingSource,PostProcessingCpuMarkerMs,MotionVectorsCpuMarkerMs,OutputResolution,InternalResolution,DynamicResolutionScale,Upscaler,MotionVectorsActive,ManagedCameraCount,FallbackReason
"Smaa","Smaa","01_StaticOutdoor",1.7465,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0773,0.0544,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","02_SlowWalk",1.7589,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0786,0.0545,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","03_FastCameraTurn",1.9258,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0996,0.0268,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","04_FastVehicle",1.6870,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0755,0.0580,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","05_ForestGrassFoliage",1.9113,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0937,0.0578,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","06_ThinGeometryAgainstSky",1.7433,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0770,0.0535,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","07_NightHeadlightsEmissive",1.6831,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0779,0.0515,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","08_InteriorContrastDetails",1.6469,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0716,0.0446,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","09_FieldOfViewChange",1.6877,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0773,0.0522,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","10_ResolutionChange",1.7866,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0786,0.0525,"960x540","960x540",1.0000,"None",False,2,""
"Smaa","Smaa","11_RuntimeAaSwitch",1.9533,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0953,0.0578,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","12_TeleportOrSaveLoad",1.7331,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0801,0.0485,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","13_HardCameraCut",1.6222,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0754,0.0311,"1280x720","1280x720",1.0000,"None",False,2,""
"Smaa","Smaa","14_MultipleActiveCameras",3.1727,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1519,0.0654,"1280x720","1280x720",1.0000,"None",False,2,""
"Taa","Taa","01_StaticOutdoor",1.7933,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0900,0.0535,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","02_SlowWalk",1.8729,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0992,0.0546,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","03_FastCameraTurn",1.8125,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0900,0.0247,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","04_FastVehicle",1.7543,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0879,0.0488,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","05_ForestGrassFoliage",2.2079,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1086,0.0545,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","06_ThinGeometryAgainstSky",1.9688,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0986,0.0504,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","07_NightHeadlightsEmissive",2.5242,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1258,0.0596,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","08_InteriorContrastDetails",2.5144,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1220,0.0514,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","09_FieldOfViewChange",2.1541,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.1034,0.0506,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","10_ResolutionChange",2.0911,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0970,0.0502,"960x540","960x540",1.0000,"None",True,2,""
"Taa","Taa","11_RuntimeAaSwitch",1.9298,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0872,0.0547,"1280x720","1280x720",1.0000,"None",True,2,""
"Taa","Taa","12_TeleportOrSaveLoad",1.7464,"FrameTimingManager",-1.0000,False,"unavailable in Editor batch mode",0.0895,0.0464,"1280x720","1280x720",1.0000,"None",True,2,""
