elapsed_s,rpm,throttle,engine_load,engine_torque_nm,clutch_slip_rpm,gear,shift_status,gearbox_input_rad_s,gearbox_output_rad_s,differential_torque_nm,speed_m_s,steering_deg,brake,battery_v,engine_temp_c,prerequisite_flags,fixed_step_s,substeps,simulation_ms,backend_sample_ms,backend_apply_ms,w0_contact,w0_normal_load_n,w0_longitudinal_slip,w0_lateral_slip,w0_omega_rad_s,w0_suspension_01,w0_surface,w1_contact,w1_normal_load_n,w1_longitudinal_slip,w1_lateral_slip,w1_omega_rad_s,w1_suspension_01,w1_surface,w2_contact,w2_normal_load_n,w2_longitudinal_slip,w2_lateral_slip,w2_omega_rad_s,w2_suspension_01,w2_surface,w3_contact,w3_normal_load_n,w3_longitudinal_slip,w3_lateral_slip,w3_omega_rad_s,w3_suspension_01,w3_surface
5.720083,4266.46,0.95,0.259172559,95.84087,3605.17944,1,0,69.2491455,19.785471,320.896881,0.612347,0,0,12.6,31.73684,0,0.0199999921,4,0.0356,0.0158,0.0081,1,2913.94263,1.04952168,0.673714459,6.039021,0.240691155,1,1,0,0.498537123,0.673714459,4.107373,0.185775757,1,1,3459.44971,-0.00543820858,0.718705,2.17187786,0.3482229,1,1,0,0.00442993641,0.718705,2.29332662,0.295660883,1
5.74008369,4307.74756,0.95,0.266511619,95.46977,3622.715,1,0,71.73644,20.4961262,328.711517,0.632293642,0,0,12.6,31.7781029,0,0.0199999921,4,0.0335,0.015,0.0073,1,0,0.546783864,-0.655472636,4.35205841,0.184647232,1,1,2908.91919,1.05109048,-0.655472636,6.15877533,0.239760667,1,1,0,0.000433087349,-0.6770985,2.34740639,0.296988726,1,1,3466.189,-0.003847301,-0.677098453,2.29072714,0.349740177,1
5.760084,4348.16455,0.95,0.273942441,95.10645,3641.58325,1,0,73.99304,21.14087,336.5964,0.662043333,0,0,12.6,31.81938,0,0.0199999921,4,0.0333,0.0153,0.0071,1,2900.82373,1.1068089,0.6715371,6.43223,0.23856625,1,1,0,0.5296173,0.6715371,4.409241,0.1837439,1,1,3472.4707,-0.0076020956,0.7189386,2.34715223,0.351056784,1,1,0,0.00219392776,0.718938649,2.472905,0.298583835,1
5.78008461,4387.714,0.95,0.281464,94.7509,3656.34424,1,0,76.58888,21.8825378,344.5512,0.683533132,0,0,12.6,31.86067,0,0.0199999921,4,0.0313,0.0143,0.0067,1,0,0.5798725,-0.653527,4.66473341,0.182599813,1,1,2895.82324,1.10834754,-0.653527,6.55708027,0.237650663,1,1,0,-0.0019595623,-0.6766717,2.52988958,0.29992792,1,1,3479.32324,-0.00588947535,-0.676671743,2.47161746,0.3526194,1
5.800085,4426.399,0.95,0.2890753,94.40309,3672.509,1,0,78.94718,22.5563374,352.57547,0.7142034,0,0,12.6,31.9019737,0,0.0199999921,4,0.032,0.0141,0.0071,1,2887.54053,1.16603792,0.6692575,6.84118748,0.236437708,1,1,0,0.562407136,0.6692575,4.726165,0.181714684,1,1,3485.541,-0.009770751,0.7191499,2.53103948,0.353948265,1,1,0,-5.9068203E-05,0.7191498,2.661203,0.301570684,1
5.82008553,4464.22266,0.95,0.296775132,94.06298,3684.47949,1,0,81.6545,23.3298588,360.6688,0.737207353,0,0,12.6,31.94329,0,0.0199999921,4,0.0317,0.0141,0.0068,1,0,0.614697337,-0.651460767,4.99254942,0.180557027,1,1,2882.559,1.16761518,-0.6514608,6.97148,0.235538334,1,1,0,-0.00437927246,-0.6761511,2.72104573,0.302930325,1,1,3492.51367,-0.007929504,-0.6761511,2.66123748,0.355555266,1
5.840086,4501.189,0.95,0.3045624,93.730545,3697.93042,1,0,84.11706,24.0334454,368.830841,0.7688376,0,0,12.6,31.984623,0,0.0199999921,4,0.033,0.0148,0.0072,1,2874.12329,1.2272985,0.666869938,7.266297,0.2343095,1,1,0,0.596993864,0.666869938,5.05854654,0.179690123,1,1,3498.73779,-0.0119438171,0.7193376,2.72361541,0.3568977,1,1,0,-0.00232857466,0.7193375,2.858305,0.304619133,1
5.86008644,4537.3,0.95,0.312435776,93.40578,3707.098,1,0,86.93854,24.8395824,377.061157,0.793330967,0,0,12.6,32.02597,0,0.0199999921,4,0.0328,0.0149,0.007,1,0,0.65135926,-0.6492929,5.33594656,0.178522527,1,1,2869.23315,1.22896492,-0.6492929,7.402301,0.233428329,1,1,0,-0.00682222843,-0.6755584,2.920959,0.305995673,1,1,3505.84473,-0.009961903,-0.6755584,2.85967135,0.358548075,1
5.880087,4572.559,0.95,0.3203941,93.0886154,3717.81934,1,0,89.5081558,25.57376,385.359436,0.8259557,0,0,12.6,32.0673332,0,0.0199999921,4,0.0355,0.016,0.0076,1,2860.711,1.29067111,0.6643936,7.70791674,0.232188553,1,1,0,0.633483052,0.664393544,5.40683126,0.177676141,1,1,3512.09326,-0.0141160488,0.7195178,2.92496228,0.35990575,1,1,0,-0.004609823,0.719517767,3.064286,0.307729483,1
5.90008736,4606.969,0.95,0.328435957,92.77905,3724.17236,1,0,92.44628,26.4132233,393.7252,0.851916969,0,0,12.6,32.10871,0,0.0199999921,4,0.0324,0.0145,0.007,1,0,0.689953566,-0.6470414,5.695338,0.176499277,1,1,2855.87671,1.29247642,-0.6470414,7.84990454,0.23132661,1,1,0,-0.009287536,-0.674908161,3.12969637,0.309120268,1,1,3519.29614,-0.0119864941,-0.6749081,3.066991,0.361597538,1
5.920088,4640.534,0.95,0.33656016,92.47706,3732.14136,1,0,95.12668,27.17905,402.158234,0.8855652,0,0,12.6,32.1501045,0,0.0199999921,4,0.0331,0.0145,0.0076,1,2847.17432,1.35623,0.6618106,8.166381,0.230073914,1,1,0,0.6720152,0.6618106,5.77159357,0.175676733,1,1,3525.47046,-0.0162861347,0.719671845,3.13514638,0.362965465,1,1,0,-0.00690090656,0.719671845,3.27921247,0.3108998,1
5.94008827,4673.25635,0.95,0.3447652,92.18262,3735.659,1,0,98.18497,28.0528469,410.658081,0.9129735,0,0,12.6,32.1915169,0,0.0199999921,4,0.0333,0.0152,0.0072,1,0,0.7306283,-0.6446611,6.071315,0.1744916,1,1,2842.388,1.35826468,-0.6446612,8.31476,0.229233831,1,1,0,-0.0117734671,-0.6741569,3.347313,0.312303156,1,1,3532.78076,-0.0139977336,-0.674156845,3.28326178,0.3646996,1
5.96008873,4705.139,0.95,0.353049636,91.89567,3740.85962,1,0,100.979118,28.8511772,419.2244,0.9476719,0,0,12.6,32.23295,0,0.0199999921,4,0.0465,0.0225,0.0095,1,2833.53442,1.4240979,0.659117162,8.642173,0.22796987,1,1,0,0.712705135,0.659117162,6.15330172,0.173695549,1,1,3538.91064,-0.01844877,0.719802141,3.35422158,0.366077155,1,1,0,-0.009199381,0.719802141,3.50314,0.314128727,1
