assetPath,guid,extension,sourceBytes,sourceSha256,duplicateGroup,width,height,mode,bitDepth,hasAlpha,alphaIsBinary,textureType,sRGB,wrapMode,wrapU,wrapV,wrapW,filterMode,anisoLevel,mipmaps,mipmapFilter,mipMapsPreserveCoverage,maxTextureSize,textureCompression,compressionQuality,crunchedCompression,platformOverrides,spriteMode,spritePixelsPerUnit,spriteCount,spriteRects,spriteBorders,materialUses,category,domains,isTileable,textureSetKey,scalePolicy,estimatedVramBytesBefore,estimatedVramBytesAfterPolicy,excludedByConfig,dirtyWorkingTree,manualReview,manualReviewReasons,readableByPipeline,sourceReadError
Assets/Chernobyl/Textures/Noise.tga,3948ecb3ddda0914ab24867c36c4a45c,.tga,783134,f3bd15499bba5f180a26ec9a772d6f059a8e0fed56a9874704e70611b088b5fa,f3bd15499bba5f18,512,512,RGB,8,False,False,Default,True,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Grass_01.mat"",""propertyName"":""_Noise"",""shaderName"":""AE/Leaves""},{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Grass_02.mat"",""propertyName"":""_Noise"",""shaderName"":""AE/Leaves""},{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Pine_Needle.mat"",""propertyName"":""_Noise"",""shaderName"":""AE/Leaves""},{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Small_Tree.mat"",""propertyName"":""_Noise"",""shaderName"":""AE/Leaves""}]",Base Color / Albedo,"[""Vegetation""]",True,assets/chernobyl/textures/noise,2,349526,1398102,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_A.tga,8a011892f9920134bbf910a55942b185,.tga,12582956,a202f80d86716b11404c71ba1ada82d512c22433affc5a0849125c5e7fb4d8c2,,2048,2048,RGB,8,False,False,Default,True,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_01_Bark.mat"",""propertyName"":""_BaseColorMap"",""shaderName"":""HDRP/Lit""},{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_01_Bark.mat"",""propertyName"":""_MainTex"",""shaderName"":""HDRP/Lit""}]",Base Color / Albedo,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_01_bark_a,1,5592406,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_MaskMap.png,3ba1dcc5367ea3d418c9e0eff998a98b,.png,6722928,d711ea37eef2ca6af52a93f468b400587a4ae4ee81649f817acea9324438cc64,,2048,2048,RGBA,8,True,False,Default,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_01_Bark.mat"",""propertyName"":""_MaskMap"",""shaderName"":""HDRP/Lit""}]",HDRP Mask Map,"[""Vegetation"",""World""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_01_bark,1,5592406,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_MS.tga,2d30090df8d521b4b935ebbc6ecb11a3,.tga,4194348,0e3d1088ec050f1148a427dcc62113e31d1e65fdaf7a8a727ec47584c554b547,,1024,1024,RGBA,8,True,False,Default,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],[],Alpha Mask / Cutout,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_01_bark_ms,2,1398102,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_N.tga,8577dbd8b4afa98418bdff7a3c4901fd,.tga,3145772,6d6321a51d8def18e72011c921c8ac9e2c04ca804b907fda5600a3c6c4f8182c,,1024,1024,RGB,8,False,False,NormalMap,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_01_Bark.mat"",""propertyName"":""_NormalMap"",""shaderName"":""HDRP/Lit""}]",Normal Map,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_01_bark_n,2,1398102,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_01_Bark_O.tga,18c332d66854a764c9df31b5bd99af65,.tga,4194348,e9d98f243cff8fb7c5d4095f6543cd835a588cc260531e8cd6041969ce2e2734,,2048,2048,L,8,False,False,Default,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],[],Unknown / Manual Review,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_01_bark_o,1,5592406,5592406,True,True,True,"[""No authoritative Unity/material classification was found."",""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_A.tga,c802d6a7c8e94ae49884a038f46a0e94,.tga,12582956,7aea25e9800509f041d8ca18bcb6258ee38c870aee042597d9b0abcc04518608,,2048,2048,RGB,8,False,False,Default,True,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_02_Bark.mat"",""propertyName"":""_BaseColorMap"",""shaderName"":""HDRP/Lit""},{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_02_Bark.mat"",""propertyName"":""_MainTex"",""shaderName"":""HDRP/Lit""}]",Base Color / Albedo,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_02_bark_a,1,5592406,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_MaskMap.png,36692c57d2cb66a49a80956e5f67c92d,.png,5207351,fbedea5469fa0c2ad3e0196909cd79151c9bece39fa70f038b89259245c1e41d,,2048,2048,RGBA,8,True,False,Default,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_02_Bark.mat"",""propertyName"":""_MaskMap"",""shaderName"":""HDRP/Lit""}]",HDRP Mask Map,"[""Vegetation"",""World""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_02_bark,1,5592406,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_MS.tga,1f1695f3c62dd934a9b7887ca869483c,.tga,15193285,1c57fcf26329a70d8c92c038984d3183f63046dc3b2f5c11590d9223df251f0b,,2048,2048,RGBA,8,True,False,Default,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],[],Alpha Mask / Cutout,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_02_bark_ms,1,5592406,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
Assets/Chernobyl/Textures/Vegetation/Aspen/Aspen_02_Bark_N.tga,1469b843d8e4db745bca6442853b0673,.tga,3145772,d25d38acb8fd696d7912ed552c82290e67b8cea7eba5f148ad652ca22f1c5b21,,1024,1024,RGB,8,False,False,NormalMap,False,Repeat,Repeat,Repeat,Repeat,Bilinear,1,True,BoxFilter,False,2048,Compressed,50,False,"[{""name"":""DefaultTexturePlatform"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Standalone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Windows Store Apps"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""Android"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false},{""name"":""iPhone"",""overridden"":false,""maxTextureSize"":2048,""resizeAlgorithm"":""Mitchell"",""format"":""AutomaticCompressed"",""textureCompression"":""Compressed"",""compressionQuality"":50,""crunchedCompression"":false,""allowsAlphaSplitting"":false}]",None,100.0,0,[],[],"[{""materialPath"":""Assets/Chernobyl/Materials/Vegetation/Aspen_02_Bark.mat"",""propertyName"":""_NormalMap"",""shaderName"":""HDRP/Lit""}]",Normal Map,"[""Vegetation""]",True,assets/chernobyl/textures/vegetation/aspen/aspen_02_bark_n,2,1398102,5592406,True,True,True,"[""Asset or .meta has a concurrent working-tree change.""]",True,
